Customer_ID,LIMIT_BAL,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,Bill_amt1,Bill_amt2,Bill_amt3,Bill_amt4,Bill_amt5,Bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,next_month_default,AVG_Bill_amt,PAY_TO_BILL_ratio,Profile_Description
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,1284.0,0.08943406021684397,"High Utilization, 2-Month Delinquent (High Risk)"
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,2846.1666666666665,0.2927914738951343,"Frequent Delinquencies, Minimal Payments (High Risk)"
14,70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,56447.5,0.031592777949919264,"Late Payment History, Declining Trend (High Risk)"
17,20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,17693.5,0.059814809581109685,"High Credit Utilization, Small Repayments (Medium Risk)"
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,316.0,0.8333333328938115,Sporadic Late Payments (Medium Risk)
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,16942.166666666668,0.10838834072670371,"On-Time Payer, Stable Graduate (Low Risk)"
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,38555.666666666664,0.036259261500530576,"High Limit, Low Utilization, Full Payer (Low Risk)"
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,18223.166666666668,0.5400543264476532,"Zero Delinquencies, High Repayment Ratio (Low Risk)"
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,39685.666666666664,0.03263982798141798,"Consistent Early Payer, Low Bill Gaps (Low Risk)"
7,500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,454099.1666666667,0.06634343819904745,"Established Professional, Reliable History (Low Risk)"
